title,price
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Deus Ex: Mankind Divided (Game),"Rp 102,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 579,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 729,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","Rp 349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
Thief (Game),"Rp 52,350"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 318,450"
"HUMANITY (English, Japanese)","Rp 429,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 112,350"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 729,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 373,050"
"Conan Exiles (Simplified Chinese, English, Korean)","Rp 699,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Dishonored 2 (English/Chinese Ver.),"Rp 85,800"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"Rp 74,750"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 532,000"
title,price
Life is Strange 2 Complete Season (English),"Rp 279,000"
"Back 4 Blood: Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 809,000"
DRAGON BALL FighterZ (English),"Rp 136,000"
"Devil May Cry 5 Special Edition (English, Japanese)","Rp 553,000"
